symbol,strategy,holding_hours,total_trades,wins,losses,flats_skipped,win_rate,avg_win_pct,avg_loss_pct,is_significant,p_value,ci_lower,ci_upper
ETH,bollinger,72,45,23,22,310,0.5111111111111111,0.049296231771148086,0.06102533925526503,False,0.5,0.3700422432648975,0.6504321064697549
ETH,bollinger,168,45,19,26,306,0.4222222222222222,0.08652787415754375,0.10471245362627363,False,0.8836534040458446,0.28968487981687807,0.566994672040555
ETH,always_up,24,357,181,176,0,0.5070028011204482,0.024986096706270576,0.02507360321482434,False,0.4161880796040599,0.4553429869792971,0.5585135085023769
ETH,always_up,48,356,184,172,0,0.5168539325842697,0.03637891497248535,0.037104743209671914,False,0.27997755415234826,0.4650411457239424,0.5683068607322318
ETH,always_up,72,355,187,168,0,0.5267605633802817,0.04673724696796998,0.048499267700883565,False,0.16970785322189674,0.4748135952465487,0.5781345579218689
ETH,always_up,168,351,175,176,0,0.4985754985754986,0.08018291713036907,0.06862958463916566,False,0.5424971966348113,0.4465665220500268,0.5506153190869765
ETH,always_down,24,357,176,181,0,0.49299719887955185,0.02507360321482434,0.024986096706270576,False,0.6245628442515301,0.4414864914976232,0.544657013020703
ETH,always_down,48,356,172,184,0,0.48314606741573035,0.037104743209671914,0.03637891497248535,False,0.7545610677961927,0.4316931392677683,0.5349588542760577
ETH,always_down,72,355,168,187,0,0.4732394366197183,0.048499267700883565,0.04673724696796998,False,0.8557732899208101,0.42186544207813126,0.5251864047534514
ETH,always_down,168,351,176,175,0,0.5014245014245015,0.06862958463916566,0.08018291713036907,False,0.49999999999999933,0.44938468091302364,0.5534334779499733
ETH,random,24,357,185,172,0,0.5182072829131653,0.025070221188900028,0.0249851555214974,False,0.2627082431780781,0.46645702892921925,0.5695698593231332
ETH,random,48,356,191,165,0,0.5365168539325843,0.0377210910654149,0.035581865415191684,False,0.0925472613477309,0.48460159468493047,0.5876524193034467
ETH,random,72,355,194,161,0,0.5464788732394367,0.048704974673632814,0.04620482652219913,True,0.044646784174678864,0.4944690561728964,0.5974935256459342
ETH,random,168,351,184,167,0,0.5242165242165242,0.07488489906199304,0.07384428722695222,False,0.19656326320741532,0.4719901360430712,0.5759185646278762
SOL,momentum,24,274,134,140,83,0.48905109489051096,0.03232118798182175,0.02930110959191551,False,0.6637718061675926,0.4304231374562342,0.5479818242197712
SOL,momentum,48,274,136,138,82,0.49635036496350365,0.044472325976478766,0.04370793445597303,False,0.5718880429684995,0.4376091253236368,0.5551925285683651
SOL,momentum,72,273,130,143,82,0.47619047619047616,0.05287061150270609,0.05053699661850849,False,0.8015705057262124,0.41768742296177364,0.5353543164299941
SOL,momentum,168,270,137,133,81,0.5074074074074074,0.0744189049597697,0.08168225984948611,False,0.4275875593845873,0.4480888147585228,0.5665181697171741
SOL,momentum_strong,24,140,71,69,217,0.5071428571428571,0.030844586411080014,0.033237432161150576,False,0.4663433777256839,0.42524858696311707,0.5886555965276117
SOL,momentum_strong,48,140,71,69,216,0.5071428571428571,0.04530972023002562,0.047847954625549055,False,0.4663433777256839,0.42524858696311707,0.5886555965276117
SOL,momentum_strong,72,139,60,79,216,0.4316546762589928,0.05432675635477928,0.05405670426306058,False,0.9552738425027654,0.3522444693584572,0.5147410586669918
SOL,momentum_strong,168,136,63,73,215,0.4632352941176471,0.07898690966129791,0.07923672515653704,False,0.8272037170695574,0.38159140797996516,0.5468991127234593
